source_table, destination_table, source_field, target_field, field_type
refrigerator_temperature_data,refrigerator_temperature_data_odkx,selfUri,selfUri,
refrigerator_types,refrigerator_types_odkx,_row_etag,rowETag,
refrigerator_types,refrigerator_types_odkx,_data_etag_at_modification,dataETagAtModification,
refrigerator_types,refrigerator_types_odkx,_deleted,deleted,
refrigerator_types,refrigerator_types_odkx,_create_user,createUser,
refrigerator_types,refrigerator_types_odkx,_form_id,formId,
refrigerator_types,refrigerator_types_odkx,_locale,locale,
refrigerator_types,refrigerator_types_odkx,_savepoint_type,savepointType,
refrigerator_types,refrigerator_types_odkx,_savepoint_creator,savepointCreator,
refrigerator_types,refrigerator_types_odkx,_last_update_user,lastUpdateUser_refrigerator_types,
refrigerator_types,refrigerator_types_odkx,_savepoint_timestamp,savepointTimestamp_refrigerator_types,
refrigerator_types,refrigerator_types_odkx,catalog_id,catalog_id,
refrigerator_types,refrigerator_types_odkx,climate_zone,climate_zone,
refrigerator_types,refrigerator_types_odkx,equipment_type,equipment_type,
refrigerator_types,refrigerator_types_odkx,freezer_gross_volume,freezer_gross_volume,
refrigerator_types,refrigerator_types_odkx,freezer_net_volume,freezer_net_volume,
refrigerator_types,refrigerator_types_odkx,manufacturer,manufacturer,
refrigerator_types,refrigerator_types_odkx,model_id,model_id,
refrigerator_types,refrigerator_types_odkx,power_source,power_source,
refrigerator_types,refrigerator_types_odkx,refrigerator_gross_volume,refrigerator_gross_volume,
refrigerator_types,refrigerator_types_odkx,refrigerator_net_volume,refrigerator_net_volume,
refrigerator_types,refrigerator_types_odkx,refrigerator_picture_contentType,refrigerator_picture_contentType,
refrigerator_types,refrigerator_types_odkx,refrigerator_picture_uriFragment,refrigerator_picture_uriFragment,
refrigerator_types,refrigerator_types_odkx,_id,id_refrigerator_types,
refrigerator_types,refrigerator_types_odkx,selfUri,selfUri,
refrigerators,refrigerators_odkx,_row_etag,rowETag,
refrigerators,refrigerators_odkx,_data_etag_at_modification,dataETagAtModification,
refrigerators,refrigerators_odkx,_deleted,deleted,
refrigerators,refrigerators_odkx,_create_user,createUser,
refrigerators,refrigerators_odkx,_form_id,formId,
refrigerators,refrigerators_odkx,_locale,locale,
refrigerators,refrigerators_odkx,_savepoint_type,savepointType,
refrigerators,refrigerators_odkx,_savepoint_creator,savepointCreator,
refrigerators,refrigerators_odkx,_last_update_user,lastUpdateUser_refrigerators,
refrigerators,refrigerators_odkx,_savepoint_timestamp,savepointTimestamp_refrigerators,
refrigerators,refrigerators_odkx,ehc_powered_devices,ehc_powered_devices,
refrigerators,refrigerators_odkx,facility_row_id,facility_row_id,
refrigerators,refrigerators_odkx,functional_status,functional_status,
refrigerators,refrigerators_odkx,maintenance_priority,maintenance_priority,
refrigerators,refrigerators_odkx,model_row_id,model_row_id,
refrigerators,refrigerators_odkx,notes,notes,
refrigerators,refrigerators_odkx,power_source,power_source,
refrigerators,refrigerators_odkx,reason_not_working,reason_not_working,
refrigerators,refrigerators_odkx,serial_number,serial_number,
refrigerators,refrigerators_odkx,serial_number_image_contentType,serial_number_image_contentType,
refrigerators,refrigerators_odkx,serial_number_image_uriFragment,serial_number_image_uriFragment,
refrigerators,refrigerators_odkx,temperature_monitoring_device,temperature_monitoring_device,
refrigerators,refrigerators_odkx,temperature_monitoring_device_functional_status,temperature_monitoring_device_functional_status,
refrigerators,refrigerators_odkx,temperature_monitoring_device_type,temperature_monitoring_device_type,
